  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1B GL2-C1A C1A-D2A D2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
      0  -0.135   0.628  -0.216   0.304  -0.069   0.442   0.207   0.135   0.430   0.383   0.217
      1  -0.148   0.652  -0.226   0.268  -0.065   0.457   0.209   0.208   0.421   0.376   0.205
      2  -0.133   0.637  -0.230   0.263  -0.046   0.428   0.225   0.211   0.452   0.330   0.207
      3  -0.146   0.633  -0.210   0.288  -0.073   0.401   0.222   0.213   0.419   0.366   0.210
      4  -0.149   0.610  -0.214   0.269  -0.060   0.461   0.228   0.181   0.448   0.417   0.239
      5  -0.151   0.618  -0.209   0.303  -0.047   0.379   0.219   0.187   0.435   0.391   0.251
      6  -0.148   0.639  -0.227   0.313  -0.070   0.411   0.241   0.227   0.436   0.328   0.237
      7  -0.127   0.604  -0.207   0.306  -0.072   0.409   0.265   0.191   0.422   0.356   0.187
      8  -0.123   0.619  -0.189   0.277  -0.061   0.399   0.218   0.165   0.464   0.377   0.224
      9  -0.104   0.624  -0.209   0.300  -0.065   0.406   0.232   0.169   0.495   0.375   0.203
     10  -0.139   0.651  -0.246   0.247  -0.022   0.415   0.171   0.144   0.462   0.369   0.182
     11  -0.133   0.624  -0.196   0.286  -0.072   0.415   0.259   0.162   0.431   0.371   0.189
     12  -0.129   0.600  -0.197   0.321  -0.063   0.348   0.234   0.135   0.435   0.380   0.241
     13  -0.141   0.592  -0.225   0.284  -0.050   0.432   0.223   0.151   0.471   0.396   0.222
     14  -0.155   0.629  -0.175   0.318  -0.088   0.405   0.223   0.164   0.478   0.374   0.256
     15  -0.137   0.638  -0.210   0.309  -0.069   0.378   0.225   0.175   0.470   0.341   0.164
     16  -0.126   0.640  -0.193   0.327  -0.080   0.406   0.167   0.163   0.468   0.349   0.184
     17  -0.120   0.624  -0.228   0.285  -0.047   0.448   0.235   0.169   0.451   0.368   0.233
     18  -0.162   0.609  -0.200   0.309  -0.043   0.417   0.184   0.166   0.465   0.350   0.225
     19  -0.129   0.638  -0.227   0.254  -0.045   0.419   0.221   0.160   0.455   0.408   0.239
     20  -0.142   0.612  -0.213   0.325  -0.070   0.378   0.274   0.185   0.442   0.364   0.187
     21  -0.131   0.602  -0.223   0.266  -0.038   0.385   0.239   0.160   0.434   0.333   0.256
     22  -0.160   0.620  -0.200   0.303  -0.077   0.389   0.240   0.182   0.431   0.343   0.250
     23  -0.145   0.631  -0.243   0.263  -0.018   0.436   0.267   0.207   0.468   0.384   0.221
     24  -0.137   0.636  -0.205   0.289  -0.060   0.402   0.269   0.180   0.463   0.390   0.208
     25  -0.124   0.639  -0.234   0.275  -0.039   0.413   0.199   0.159   0.435   0.367   0.213
     26  -0.116   0.644  -0.209   0.313  -0.076   0.409   0.155   0.165   0.488   0.409   0.206
     27  -0.134   0.627  -0.215   0.285  -0.060   0.438   0.220   0.219   0.444   0.340   0.208
     28  -0.135   0.623  -0.223   0.284  -0.039   0.428   0.232   0.185   0.442   0.333   0.182
     29  -0.109   0.656  -0.204   0.281  -0.054   0.405   0.222   0.161   0.400   0.347   0.211
     30  -0.118   0.610  -0.220   0.265  -0.040   0.408   0.248   0.142   0.458   0.389   0.215
     31  -0.160   0.610  -0.233   0.260  -0.045   0.455   0.200   0.168   0.490   0.411   0.244
     32  -0.122   0.610  -0.205   0.278  -0.060   0.386   0.213   0.197   0.428   0.359   0.236
     33  -0.154   0.623  -0.219   0.268  -0.050   0.436   0.215   0.191   0.450   0.393   0.260
     34  -0.167   0.616  -0.241   0.269  -0.033   0.400   0.249   0.173   0.468   0.332   0.235
     35  -0.126   0.613  -0.205   0.321  -0.104   0.399   0.242   0.208   0.452   0.366   0.166
